ID	Section	Sentence	Desired_Section	Segment_annotation	Issue Type
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	2	"""comments,_suggestions_and_typos"""	O	
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	The reference (El-Kishky et al., 2014) had been published at Proc.	"""comments,_suggestions_and_typos"""	B	Other
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	VLDB Endow.	"""comments,_suggestions_and_typos"""	I	
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	8(3): 305-316 (2014).	"""comments,_suggestions_and_typos"""	I	
ec7b1acd2cc7faf054d68f6a564a1b4888a860c6e9d66cbf40dd556e0aabdec0d7719bf6bf1317e60297ab85fc12d59daa91bd49aa13fa665f4568a4ccd5a475	comments,_suggestions_and_typos	Besides, the information of reference (Merity et al., 2016) are incomplete.	"""comments,_suggestions_and_typos"""	I	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	1) It is unclear how one should do the smoothing of LR in the “Smooth” variant.	Summary_of_weaknesses	B	X is not clear
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	The authors proposed some values in the reasonable range but without any discussion on how they are decided.	Summary_of_weaknesses	I	Not Enough info
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	It would be great if there is a methodical approach or a description of how this is done.	Summary_of_weaknesses	I	X is not clear
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	2) Layer conductance is not a good way to measure vanishing gradients.	Summary_of_weaknesses	B	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	It is a measure of neuron importance for a given input.	Summary_of_weaknesses	I	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	While the result of conductance analysis is in the form of “gradients”, it is a different concept from the gradients the model receives during training.	Summary_of_weaknesses	I	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	Hence, I would argue that the layer conductance analysis is actually not measuring what the authors aim to measure and the conclusions should be revised.	Summary_of_weaknesses	I	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	3) MSLR requires knowing the unimodal optimal learning rates in advance - which means we have to spend resources to tune unimodal models and discard them in the end.	Summary_of_weaknesses	B	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	summary_of_weaknesses	It would be interesting to see how this compares to directly tuning a late-fusion model with separate LR for each modality, especially with a similar or less compute budget.	Summary_of_weaknesses	I	H13. The authors could also do [extra experiment X]
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	comments,_suggestions_and_typos	comments,_suggestions_and_typos:1)	"""comments,_suggestions_and_typos"""	O	
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	comments,_suggestions_and_typos	Relating to weakness 2), the authors need to properly measure gradients during training and validate their hypothesis about vanishing gradients, which would be easy to measure with norm of gradients.	"""comments,_suggestions_and_typos"""	B	H15. The authors should have done [X] instead
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	comments,_suggestions_and_typos	If the authors do not have the resources to conduct this analysis in time, I suggest the authors to revise their claims on vanishing gradients as layer conductance does not measure that.	"""comments,_suggestions_and_typos"""	I	Other
9d73f23756d1ed4fed8337e814c0baba99d205b2e1f53ec004f4d00e10451e298f1e7097e48478af90258839ffdffcc2e4a89c4ac49cbdaa5d6b3b2ec67cc04a	comments,_suggestions_and_typos	2) I suggest the authors to add a brief discussion about how to pick learning rates in the “Smooth” variant; 3) Typo - line 440, “...from the all the joint…” -> “...from all the joint…” 4) Typo - line 561, “while MSLR while achieves…” -> “while MSLR achieves…”	"""comments,_suggestions_and_typos"""	B	Other
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	It seems that the regularity-aware models don’t exploit any lexicon, but only relying on local self-attention over span representations formulated in Eq.	Summary_of_weaknesses	B	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	(6).	Summary_of_weaknesses	I	
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	It is not clear how this local self-attention of Eq.	Summary_of_weaknesses	I	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	(6) is related to “regularity” or “regular types” of entities.	Summary_of_weaknesses	I	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	The motivation of paper is not very tightly related to the proposed regularity-aware models, i.e. how it can be seen as an alternative model of the previous lexicon-based models?  	Summary_of_weaknesses	I	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	-During inference, regularity-aware models are only used as in Section 3.5.	Summary_of_weaknesses	B	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	Then, the regularity-agnostic models are not used during inference?	Summary_of_weaknesses	I	Not Enough info
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	Is this model used in only the orthogonality space restriction of Eq.	Summary_of_weaknesses	I	 X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	(16)?	Summary_of_weaknesses	I	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	Detailed descriptions are provided.	Summary_of_weaknesses	B	Other
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	-In Table 3, it is not clear what is the difference b/w reg-aware&agnostic and RICON models.	Summary_of_weaknesses	B	Not Enough info
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	The models compared in the experiments need to be clearly described.	Summary_of_weaknesses	I	X is not clear
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	-The proposed models could be applicable to other English NER datasets, i.e. the regularity concept can be extended to other languages.	"""comments,_suggestions_and_typos"""	B	"""H10. The approach is tested only on [not English], so unclear if it will generalize to other languages"""
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	summary_of_weaknesses	Otherwise, the authors need to present why the addressed issue of the proposed model appears in Chinese NER task, not in other English NER tasks, .	"""comments,_suggestions_and_typos"""	I	"""H10. The approach is tested only on [not English], so unclear if it will generalize to other languages"""
391da603120daaad1020fd3745b44dbd73a4a5675a76cb3a71c92bde632d9cee39fb3b7327e09b8df4329e4c24ed44e3d20b554ba92eeddd8c0beb15cb617583	comments,_suggestions_and_typos	(please see weaknesses)	"""comments,_suggestions_and_typos"""	O	Other
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	Their claim is not properly supported.	Summary_of_weaknesses	B	Other
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	In Section 1 (in line 71-84 and 121-124), the authors introduce the problem they want to solve, and they state as follows: “It effectively mitigates two types of similar problems: similar relations and similar entities by learning representations jointly optimized with contrastive loss and classification loss.”  	Summary_of_weaknesses	I	Other
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	It is true that they show some actual examples their method solved in Appendix (Figure 6).	Summary_of_weaknesses	I	X is not clear
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	However, there is no quantitative evidence for supporting that their proposed method solves or mitigates the problem.	Summary_of_weaknesses	I	Not Enough info
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	Thus, readers cannot judge whether their method can mitigate the “similar relations and similar entities” problem or not.	Summary_of_weaknesses	I	Not Enough info
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	Readers would appreciate if the authors could provide quantitative results for supporting the claim.-The authors adopt different evaluation metrics (B^3 F1, NMI, ARI) from the standard metric (F1 score) used in many existing papers on zero-shot RE, such as Chen and Li (2021) and Levy et al. (2017).	Summary_of_weaknesses	B	H15. The authors should have done [X] instead
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	In terms of the three metrics, the state-of-the-art method, ZS-BERT, is inferior to other methods, such as Att-BiLSTM, which surprises many readers.	Summary_of_weaknesses	I	H4. This has no precedent in the existing literature
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	Although it is okay to adopt the different metrics, many readers are likely to see the performance comparisons in terms of the standard F1 score as well as the three metrics.-The proposed method is not so new.	Summary_of_weaknesses	B	The contribution is not novel
c4557d7fd800cec79317571ea48892d785f9f78c67138fd74917c9731f6c6f362066cef961337923fffb136b0ca8c703bd27e6d90ab20b135e933db0a5ad6d01	summary_of_weaknesses	It is true that the proposed method includes a few simple extensions for relation extraction (e.g., Softmax Layer and Concat Layer), the key idea and most parts of their method are based on existing contrastive learning methods, such as SimCSE proposed by Gao et al. (2021).	Summary_of_weaknesses	I	The contribution is not novel
